TrialNumber,Participant,ConFBLSMCLS,ConRew,Bias,TrialType,Reward,LongShort,FBMem,Gender,Age,AQ,PI20,FB (1) vs MC(2),Short (1) vs Long (2)
1,6,1,1,0.418,FBS,POS,Short,FB,1,30,20,34,1,1
2,6,2,2,0.175,FBL,NEG,Long,FB,1,30,20,34,1,2
3,6,3,1,0.03,MCS,POS,Short,Mem,1,30,20,34,2,1
4,6,4,2,0.002,MCL,NEG,Long,Mem,1,30,20,34,2,2
5,6,1,1,-0.007,FBS,POS,Short,FB,1,30,20,34,1,1
6,6,3,2,0.003,MCS,NEG,Short,Mem,1,30,20,34,2,1
7,6,4,1,0.024,MCL,POS,Long,Mem,1,30,20,34,2,2
8,6,2,1,-0.042,FBL,POS,Long,FB,1,30,20,34,1,2
9,6,1,2,0.021,FBS,NEG,Short,FB,1,30,20,34,1,1
10,6,3,2,0.052,MCS,NEG,Short,Mem,1,30,20,34,2,1
11,6,2,2,0.156,FBL,NEG,Long,FB,1,30,20,34,1,2
12,6,4,2,0.029,MCL,NEG,Long,Mem,1,30,20,34,2,2
13,6,4,1,-0.02,MCL,POS,Long,Mem,1,30,20,34,2,2
14,6,2,1,-0.015,FBL,POS,Long,FB,1,30,20,34,1,2
15,6,3,1,0.029,MCS,POS,Short,Mem,1,30,20,34,2,1
16,6,1,2,-0.022,FBS,NEG,Short,FB,1,30,20,34,1,1
1,7,1,1,0.019,FBS,POS,Short,FB,2,26,25,24,1,1
2,7,2,2,0.368,FBL,NEG,Long,FB,2,26,25,24,1,2
3,7,3,1,0.458,MCS,POS,Short,Mem,2,26,25,24,2,1
4,7,4,2,-0.038,MCL,NEG,Long,Mem,2,26,25,24,2,2
5,7,1,1,0.272,FBS,POS,Short,FB,2,26,25,24,1,1
6,7,3,2,-0.05,MCS,NEG,Short,Mem,2,26,25,24,2,1
7,7,4,1,0.501,MCL,POS,Long,Mem,2,26,25,24,2,2
8,7,2,1,-0.126,FBL,POS,Long,FB,2,26,25,24,1,2
9,7,1,2,0.352,FBS,NEG,Short,FB,2,26,25,24,1,1
10,7,3,2,0.028,MCS,NEG,Short,Mem,2,26,25,24,2,1
11,7,2,2,0.638,FBL,NEG,Long,FB,2,26,25,24,1,2
12,7,4,2,-0.102,MCL,NEG,Long,Mem,2,26,25,24,2,2
13,7,4,1,0.042,MCL,POS,Long,Mem,2,26,25,24,2,2
14,7,2,1,-0.048,FBL,POS,Long,FB,2,26,25,24,1,2
15,7,3,1,-0.073,MCS,POS,Short,Mem,2,26,25,24,2,1
16,7,1,2,0,FBS,NEG,Short,FB,2,26,25,24,1,1
1,8,1,1,-0.009,FBS,NEG,Short,FB,2,34,23,45,1,1
2,8,2,2,0.261,FBL,POS,Long,FB,2,34,23,45,1,2
3,8,3,1,0.172,MCS,NEG,Short,Mem,2,34,23,45,2,1
4,8,4,2,-0.022,MCL,POS,Long,Mem,2,34,23,45,2,2
5,8,1,1,0.009,FBS,NEG,Short,FB,2,34,23,45,1,1
6,8,3,2,0.145,MCS,POS,Short,Mem,2,34,23,45,2,1
7,8,4,1,-0.1,MCL,NEG,Long,Mem,2,34,23,45,2,2
8,8,2,1,0.204,FBL,NEG,Long,FB,2,34,23,45,1,2
9,8,1,2,0.083,FBS,POS,Short,FB,2,34,23,45,1,1
10,8,3,2,0.045,MCS,POS,Short,Mem,2,34,23,45,2,1
11,8,2,2,0.06,FBL,POS,Long,FB,2,34,23,45,1,2
12,8,4,2,-0.041,MCL,POS,Long,Mem,2,34,23,45,2,2
13,8,4,1,0.048,MCL,NEG,Long,Mem,2,34,23,45,2,2
14,8,2,1,0.034,FBL,NEG,Long,FB,2,34,23,45,1,2
15,8,3,1,-0.059,MCS,NEG,Short,Mem,2,34,23,45,2,1
16,8,1,2,0.013,FBS,POS,Short,FB,2,34,23,45,1,1
1,9,1,1,0.268,FBS,POS,Short,FB,2,28,18,51,1,1
2,9,2,2,0.551,FBL,NEG,Long,FB,2,28,18,51,1,2
3,9,3,1,0.256,MCS,POS,Short,Mem,2,28,18,51,2,1
4,9,4,2,0.322,MCL,NEG,Long,Mem,2,28,18,51,2,2
5,9,1,1,-0.017,FBS,POS,Short,FB,2,28,18,51,1,1
6,9,3,2,0.502,MCS,NEG,Short,Mem,2,28,18,51,2,1
7,9,4,1,0.572,MCL,POS,Long,Mem,2,28,18,51,2,2
8,9,2,1,0.56,FBL,POS,Long,FB,2,28,18,51,1,2
9,9,1,2,-0.117,FBS,NEG,Short,FB,2,28,18,51,1,1
10,9,3,2,-0.036,MCS,NEG,Short,Mem,2,28,18,51,2,1
11,9,2,2,-0.026,FBL,NEG,Long,FB,2,28,18,51,1,2
12,9,4,2,-0.119,MCL,NEG,Long,Mem,2,28,18,51,2,2
13,9,4,1,0.143,MCL,POS,Long,Mem,2,28,18,51,2,2
14,9,2,1,0.041,FBL,POS,Long,FB,2,28,18,51,1,2
15,9,3,1,-0.019,MCS,POS,Short,Mem,2,28,18,51,2,1
16,9,1,2,0.082,FBS,NEG,Short,FB,2,28,18,51,1,1
1,10,1,1,0.03,FBS,POS,Short,FB,2,20,11,22,1,1
2,10,2,2,0.004,FBL,NEG,Long,FB,2,20,11,22,1,2
3,10,3,1,-0.016,MCS,POS,Short,Mem,2,20,11,22,2,1
4,10,4,2,-0.003,MCL,NEG,Long,Mem,2,20,11,22,2,2
5,10,1,1,0.018,FBS,POS,Short,FB,2,20,11,22,1,1
6,10,3,2,0.133,MCS,NEG,Short,Mem,2,20,11,22,2,1
7,10,4,1,-0.129,MCL,POS,Long,Mem,2,20,11,22,2,2
8,10,2,1,0.072,FBL,POS,Long,FB,2,20,11,22,1,2
9,10,1,2,-0.059,FBS,NEG,Short,FB,2,20,11,22,1,1
10,10,3,2,0.065,MCS,NEG,Short,Mem,2,20,11,22,2,1
11,10,2,2,-0.064,FBL,NEG,Long,FB,2,20,11,22,1,2
12,10,4,2,-0.057,MCL,NEG,Long,Mem,2,20,11,22,2,2
13,10,4,1,0.025,MCL,POS,Long,Mem,2,20,11,22,2,2
14,10,2,1,-0.065,FBL,POS,Long,FB,2,20,11,22,1,2
15,10,3,1,-0.022,MCS,POS,Short,Mem,2,20,11,22,2,1
16,10,1,2,-0.009,FBS,NEG,Short,FB,2,20,11,22,1,1
1,11,1,1,0.043,FBS,NEG,Short,FB,1,25,21,53,1,1
2,11,2,2,-0.081,FBL,POS,Long,FB,1,25,21,53,1,2
3,11,3,1,0.298,MCS,NEG,Short,Mem,1,25,21,53,2,1
4,11,4,2,0.063,MCL,POS,Long,Mem,1,25,21,53,2,2
5,11,1,1,-0.001,FBS,NEG,Short,FB,1,25,21,53,1,1
6,11,3,2,0.018,MCS,POS,Short,Mem,1,25,21,53,2,1
7,11,4,1,0.09,MCL,NEG,Long,Mem,1,25,21,53,2,2
8,11,2,1,0.05,FBL,NEG,Long,FB,1,25,21,53,1,2
9,11,1,2,-0.015,FBS,POS,Short,FB,1,25,21,53,1,1
10,11,3,2,0.078,MCS,POS,Short,Mem,1,25,21,53,2,1
11,11,2,2,-0.095,FBL,POS,Long,FB,1,25,21,53,1,2
12,11,4,2,-0.095,MCL,POS,Long,Mem,1,25,21,53,2,2
13,11,4,1,0.122,MCL,NEG,Long,Mem,1,25,21,53,2,2
14,11,2,1,0.034,FBL,NEG,Long,FB,1,25,21,53,1,2
15,11,3,1,-0.012,MCS,NEG,Short,Mem,1,25,21,53,2,1
16,11,1,2,-0.017,FBS,POS,Short,FB,1,25,21,53,1,1
1,12,1,1,0.02,FBS,NEG,Short,FB,2,21,13,40,1,1
2,12,2,2,-0.006,FBL,POS,Long,FB,2,21,13,40,1,2
3,12,3,1,-0.129,MCS,NEG,Short,Mem,2,21,13,40,2,1
4,12,4,2,0.149,MCL,POS,Long,Mem,2,21,13,40,2,2
5,12,1,1,0.003,FBS,NEG,Short,FB,2,21,13,40,1,1
6,12,3,2,-0.005,MCS,POS,Short,Mem,2,21,13,40,2,1
7,12,4,1,0.107,MCL,NEG,Long,Mem,2,21,13,40,2,2
8,12,2,1,0.517,FBL,NEG,Long,FB,2,21,13,40,1,2
9,12,1,2,-0.189,FBS,POS,Short,FB,2,21,13,40,1,1
10,12,3,2,0.061,MCS,POS,Short,Mem,2,21,13,40,2,1
11,12,2,2,-0.077,FBL,POS,Long,FB,2,21,13,40,1,2
12,12,4,2,0.062,MCL,POS,Long,Mem,2,21,13,40,2,2
