TrialNumber,Participant,ConFBLSMCLS,ConRew,Bias,TrialType,Reward,LongShort,FBMem,Gender,Age,AQ,PI20,FB (1) vs MC(2),Short (1) vs Long (2)
1,10,1,1,0.03,FBS,Pos,Short,FB,2,20,11,22,1,1
2,10,2,2,0,FBL,Neg,Long,FB,2,20,11,22,1,2
3,10,3,1,-0.02,MCS,Pos,Short,Mem,2,20,11,22,2,1
4,10,4,2,0,MCL,Neg,Long,Mem,2,20,11,22,2,2
5,10,1,1,0.02,FBS,Pos,Short,FB,2,20,11,22,1,1
6,10,3,2,0.13,MCS,Neg,Short,Mem,2,20,11,22,2,1
7,10,4,1,-0.13,MCL,Pos,Long,Mem,2,20,11,22,2,2
8,10,2,1,0.07,FBL,Pos,Long,FB,2,20,11,22,1,2
9,10,1,2,-0.06,FBS,Neg,Short,FB,2,20,11,22,1,1
10,10,3,2,0.07,MCS,Neg,Short,Mem,2,20,11,22,2,1
11,10,2,2,-0.06,FBL,Neg,Long,FB,2,20,11,22,1,2
12,10,4,2,-0.06,MCL,Neg,Long,Mem,2,20,11,22,2,2
13,10,4,1,0.03,MCL,Pos,Long,Mem,2,20,11,22,2,2
14,10,2,1,-0.07,FBL,Pos,Long,FB,2,20,11,22,1,2
15,10,3,1,-0.02,MCS,Pos,Short,Mem,2,20,11,22,2,1
16,10,1,2,-0.01,FBS,Neg,Short,FB,2,20,11,22,1,1
1,12,1,1,0.02,FBS,Pos,Short,FB,2,21,13,40,1,1
2,12,2,2,-0.01,FBL,Neg,Long,FB,2,21,13,40,1,2
3,12,3,1,-0.13,MCS,Pos,Short,Mem,2,21,13,40,2,1
4,12,4,2,0.15,MCL,Neg,Long,Mem,2,21,13,40,2,2
5,12,1,1,0,FBS,Pos,Short,FB,2,21,13,40,1,1
6,12,3,2,-0.01,MCS,Neg,Short,Mem,2,21,13,40,2,1
7,12,4,1,0.11,MCL,Pos,Long,Mem,2,21,13,40,2,2
8,12,2,1,0.52,FBL,Pos,Long,FB,2,21,13,40,1,2
9,12,1,2,-0.19,FBS,Neg,Short,FB,2,21,13,40,1,1
10,12,3,2,0.06,MCS,Neg,Short,Mem,2,21,13,40,2,1
11,12,2,2,-0.08,FBL,Neg,Long,FB,2,21,13,40,1,2
12,12,4,2,0.06,MCL,Neg,Long,Mem,2,21,13,40,2,2
13,12,4,1,-0.03,MCL,Pos,Long,Mem,2,21,13,40,2,2
14,12,2,1,-0.07,FBL,Pos,Long,FB,2,21,13,40,1,2
15,12,3,1,-0.07,MCS,Pos,Short,Mem,2,21,13,40,2,1
16,12,1,2,-0.05,FBS,Neg,Short,FB,2,21,13,40,1,1
1,13,1,1,0.01,FBS,Pos,Short,FB,2,20,12,26,1,1
2,13,2,2,0.14,FBL,Neg,Long,FB,2,20,12,26,1,2
3,13,3,1,0.19,MCS,Pos,Short,Mem,2,20,12,26,2,1
4,13,4,2,0.05,MCL,Neg,Long,Mem,2,20,12,26,2,2
5,13,1,1,0,FBS,Pos,Short,FB,2,20,12,26,1,1
6,13,3,2,-0.02,MCS,Neg,Short,Mem,2,20,12,26,2,1
7,13,4,1,-0.18,MCL,Pos,Long,Mem,2,20,12,26,2,2
8,13,2,1,-0.07,FBL,Pos,Long,FB,2,20,12,26,1,2
9,13,1,2,-0.15,FBS,Neg,Short,FB,2,20,12,26,1,1
10,13,3,2,0.01,MCS,Neg,Short,Mem,2,20,12,26,2,1
11,13,2,2,-0.05,FBL,Neg,Long,FB,2,20,12,26,1,2
12,13,4,2,0,MCL,Neg,Long,Mem,2,20,12,26,2,2
13,13,4,1,0.01,MCL,Pos,Long,Mem,2,20,12,26,2,2
14,13,2,1,0.01,FBL,Pos,Long,FB,2,20,12,26,1,2
15,13,3,1,-0.04,MCS,Pos,Short,Mem,2,20,12,26,2,1
16,13,1,2,0.04,FBS,Neg,Short,FB,2,20,12,26,1,1
1,14,1,1,0.02,FBS,Pos,Short,FB,1,24,17,37,1,1
2,14,2,2,0.01,FBL,Neg,Long,FB,1,24,17,37,1,2
3,14,3,1,0.08,MCS,Pos,Short,Mem,1,24,17,37,2,1
